Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
Q8NKE2	AOX1 CNAG_00162		Alternative oxidase, mitochondrial (EC 1.-.-.-)	AOX1	CNAG_00162		AOX_CRYNH		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; alternative oxidase activity [GO:0009916]; metal ion binding [GO:0046872]	alternative oxidase activity [GO:0009916]; metal ion binding [GO:0046872]	GO:0005743; GO:0009916; GO:0016021; GO:0046872; GO:0070469
J9VQ06	CHS2 CNAG_03326		Chitin synthase 2 (EC 2.4.1.16)	CHS2	CNAG_03326		CHS2_CRYNH	cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	chitin synthase activity [GO:0004100]	GO:0004100; GO:0005886; GO:0016021; GO:0034221; GO:0071555
J9VLN4	CTR4 CNAG_00979		Copper transport protein CTR4 (Copper transporter 4)	CTR4	CNAG_00979		CTR4_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; copper ion transmembrane transporter activity [GO:0005375]	copper ion transmembrane transporter activity [GO:0005375]	GO:0005375; GO:0016021
Q58Z64	VAD1 DHH1 CNAG_01537	DHH1	ATP-dependent RNA helicase VAD1 (EC 3.6.4.13) (Virulence-associated DEAD box protein 1)	VAD1	CNAG_01537		DHH1_CRYNH	mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; regulation of translation [GO:0006417]	P-body [GO:0000932]	P-body [GO:0000932]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; regulation of translation [GO:0006417]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0000932; GO:0003723; GO:0003724; GO:0005524; GO:0006397; GO:0006417; GO:0016787; GO:0051028
J9W453	GCS1 CNAG_05583		Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)	GCS1	CNAG_05583		CEGT_CRYNH	sphingolipid metabolic process [GO:0006665]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; ceramide glucosyltransferase activity [GO:0008120]; dihydroceramide glucosyltransferase activity [GO:0102769]; sphingolipid metabolic process [GO:0006665]	ceramide glucosyltransferase activity [GO:0008120]; dihydroceramide glucosyltransferase activity [GO:0102769]	GO:0000139; GO:0006665; GO:0008120; GO:0016021; GO:0102769
J9VF17	CHS4 CNAG_00546		Chitin synthase 4 (EC 2.4.1.16)	CHS4	CNAG_00546		CHS4_CRYNH	cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	chitin synthase activity [GO:0004100]	GO:0004100; GO:0005886; GO:0016021; GO:0034221; GO:0071555
J9VW97	LIV4 CNAG_06283		DNA-binding protein LIV4	LIV4	CNAG_06283		LIV4_CRYNH	positive regulation of transcription by RNA polymerase II [GO:0045944]	nucleus [GO:0005634]	nucleus [GO:0005634]; DNA-binding transcription activator activity [GO:0001216]; sequence-specific DNA binding [GO:0043565]; positive regulation of transcription by RNA polymerase II [GO:0045944]	DNA-binding transcription activator activity [GO:0001216]; sequence-specific DNA binding [GO:0043565]	GO:0001216; GO:0005634; GO:0043565; GO:0045944
Q8TG24	MET3 CNAG_04215		Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)	MET3	CNAG_04215		MET3_CRYNH	cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; methionine biosynthetic process [GO:0009086]; sulfate assimilation [GO:0000103]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; methionine biosynthetic process [GO:0009086]; sulfate assimilation [GO:0000103]	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]	GO:0000103; GO:0004020; GO:0004781; GO:0005524; GO:0005737; GO:0009086; GO:0019344; GO:0070814
J9VX38	HAD1 CNAG_01744		Probable phosphatase HAD1 (EC 3.1.3.-)	HAD1	CNAG_01744		HAD1_CRYNH	pathogenesis [GO:0009405]		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; pathogenesis [GO:0009405]	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	GO:0009405; GO:0016787; GO:0046872
J9VZ70	SSA1 CNAG_01727		Transcriptional coregulator SSA1	SSA1	CNAG_01727		HSP71_CRYNH	regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; transcription coregulator activity [GO:0003712]	GO:0003712; GO:0005524; GO:0005634; GO:0006357; GO:0016887
J9VHZ9	HSF1 CNAG_07460		Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)	HSF1	CNAG_07460		HSF_CRYNH	cellular heat acclimation [GO:0070370]	chromatin [GO:0000785]; nucleus [GO:0005634]	chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; cellular heat acclimation [GO:0070370]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0000785; GO:0003700; GO:0005634; GO:0043565; GO:0070370
O42773	CNA1 CNAG_04796		Serine/threonine-protein phosphatase 2B catalytic subunit A1 (EC 3.1.3.16) (Calcineurin A1)	CNA1	CNAG_04796		PP2B1_CRYNH	calcineurin-mediated signaling [GO:0097720]; cellular response to calcium ion [GO:0071277]; fungal-type cell wall organization or biogenesis [GO:0071852]; intracellular signal transduction [GO:0035556]; negative regulation of calcium ion import across plasma membrane [GO:1905949]; positive regulation of mitotic actomyosin contractile ring contraction [GO:1903473]; positive regulation of mitotic division septum assembly [GO:0140281]; positive regulation of protein localization to nucleus [GO:1900182]	calcineurin complex [GO:0005955]; mitotic actomyosin contractile ring, intermediate layer [GO:0120105]	calcineurin complex [GO:0005955]; mitotic actomyosin contractile ring, intermediate layer [GO:0120105]; calmodulin binding [GO:0005516]; calmodulin-dependent protein phosphatase activity [GO:0033192]; ferric iron binding [GO:0008199]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; zinc ion binding [GO:0008270]; calcineurin-mediated signaling [GO:0097720]; cellular response to calcium ion [GO:0071277]; fungal-type cell wall organization or biogenesis [GO:0071852]; intracellular signal transduction [GO:0035556]; negative regulation of calcium ion import across plasma membrane [GO:1905949]; positive regulation of mitotic actomyosin contractile ring contraction [GO:1903473]; positive regulation of mitotic division septum assembly [GO:0140281]; positive regulation of protein localization to nucleus [GO:1900182]	calmodulin binding [GO:0005516]; calmodulin-dependent protein phosphatase activity [GO:0033192]; ferric iron binding [GO:0008199]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; zinc ion binding [GO:0008270]	GO:0005516; GO:0005955; GO:0008199; GO:0008270; GO:0033192; GO:0035556; GO:0071277; GO:0071852; GO:0097720; GO:0106306; GO:0106307; GO:0120105; GO:0140281; GO:1900182; GO:1903473; GO:1905949
J9VR81	CNAG_01018		Eukaryotic translation initiation factor 2 subunit gamma (eIF-2-gamma) (EC 3.6.5.3)		CNAG_01018		IF2G_CRYNH	methylation [GO:0032259]		GTP binding [GO:0005525]; GTPase activity [GO:0003924]; methyltransferase activity [GO:0008168]; translation initiation factor activity [GO:0003743]; tRNA binding [GO:0000049]; methylation [GO:0032259]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; methyltransferase activity [GO:0008168]; translation initiation factor activity [GO:0003743]; tRNA binding [GO:0000049]	GO:0000049; GO:0003743; GO:0003924; GO:0005525; GO:0008168; GO:0032259
O93927	FKS1 CNAG_06508		1,3-beta-glucan synthase component FKS1 (EC 2.4.1.34)	FKS1	CNAG_06508		FKS1_CRYNH	(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cell wall organization [GO:0071555]; regulation of cell shape [GO:0008360]	1,3-beta-D-glucan synthase complex [GO:0000148]; integral component of membrane [GO:0016021]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]	1,3-beta-D-glucan synthase complex [GO:0000148]; integral component of membrane [GO:0016021]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; 1,3-beta-D-glucan synthase activity [GO:0003843]; (1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cell wall organization [GO:0071555]; regulation of cell shape [GO:0008360]	1,3-beta-D-glucan synthase activity [GO:0003843]	GO:0000148; GO:0003843; GO:0005886; GO:0006075; GO:0008360; GO:0016021; GO:0071555; GO:0097038
J9VT60	LHP1 CNAG_04570		La RNA-binding domain-containing protein LHP1	LHP1	CNAG_04570		LARP1_CRYNH			RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723
P27710	TRP1 CNAG_04501		Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]	TRP1	CNAG_04501		TRPG_CRYNH	glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]		anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]; phosphoribosylanthranilate isomerase activity [GO:0004640]; glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]; phosphoribosylanthranilate isomerase activity [GO:0004640]	GO:0000162; GO:0004049; GO:0004425; GO:0004640; GO:0006541
Q85T01	ND5 CNAG_09006		NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	CNAG_09006		NU5M_CRYNH	ATP synthesis coupled electron transport [GO:0042773]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005743; GO:0008137; GO:0016021; GO:0042773; GO:0070469
J9VY90	LAC1 CNAG_03465		Laccase-1 (EC 1.10.3.2) (Diphenol oxidase 1)	LAC1	CNAG_03465		LAC1_CRYNH		cell wall [GO:0005618]; extracellular region [GO:0005576]	cell wall [GO:0005618]; extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	GO:0005507; GO:0005576; GO:0005618; GO:0052716
J9VQZ4	LAC2 CNAG_03464		Laccase-2 (EC 1.10.3.2) (Diphenol oxidase 2)	LAC2	CNAG_03464		LAC2_CRYNH		cell wall [GO:0005618]; extracellular region [GO:0005576]	cell wall [GO:0005618]; extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	GO:0005507; GO:0005576; GO:0005618; GO:0052716
J9W0G9	YPK1 CNAG_04678		Serine/threonine-protein kinase YPK1 (EC 2.7.11.1)	YPK1	CNAG_04678		YPK1_CRYNH	regulation of sphingolipid biosynthetic process [GO:0090153]		ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; regulation of sphingolipid biosynthetic process [GO:0090153]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0005524; GO:0090153; GO:0106310; GO:0106311
O13465	URE1 CNAG_05540		Urease (EC 3.5.1.5) (Urea amidohydrolase)	URE1	CNAG_05540		UREA_CRYNH	urea catabolic process [GO:0043419]	urease complex [GO:0035550]	urease complex [GO:0035550]; nickel cation binding [GO:0016151]; urease activity [GO:0009039]; urea catabolic process [GO:0043419]	nickel cation binding [GO:0016151]; urease activity [GO:0009039]	GO:0009039; GO:0016151; GO:0035550; GO:0043419
J9VZZ7	CNAG_04871		Uncharacterized protein		CNAG_04871		J9VZZ7_CRYNH					
T2BPJ4	CNAG_04219		Lactoylglutathione lyase, variant		CNAG_04219		T2BPJ4_CRYNH			lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]	lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]	GO:0004462; GO:0046872
J9VIR7	CNAG_02599		2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase		CNAG_02599		J9VIR7_CRYNH			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824
J9VPD9	CNAG_04055		Cell cycle checkpoint protein		CNAG_04055		J9VPD9_CRYNH	DNA damage checkpoint [GO:0000077]; DNA repair [GO:0006281]	nucleus [GO:0005634]	nucleus [GO:0005634]; DNA damage checkpoint [GO:0000077]; DNA repair [GO:0006281]		GO:0000077; GO:0005634; GO:0006281
J9VNF6	CNAG_05675		Epsilon-trimethyllysine 2-oxoglutarate dioxygenase (EC 1.14.11.8) (TML hydroxylase) (TML-alpha-ketoglutarate dioxygenase)		CNAG_05675		J9VNF6_CRYNH	carnitine biosynthetic process [GO:0045329]		iron ion binding [GO:0005506]; trimethyllysine dioxygenase activity [GO:0050353]; carnitine biosynthetic process [GO:0045329]	iron ion binding [GO:0005506]; trimethyllysine dioxygenase activity [GO:0050353]	GO:0005506; GO:0045329; GO:0050353
J9W1K0	CNAG_07600		Beta-glucosidase		CNAG_07600		J9W1K0_CRYNH	carbohydrate metabolic process [GO:0005975]		hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	GO:0004553; GO:0005975
J9W443	CNAG_05568		Septum formation protein Maf		CNAG_05568		J9W443_CRYNH			nucleoside-triphosphate diphosphatase activity [GO:0047429]	nucleoside-triphosphate diphosphatase activity [GO:0047429]	GO:0047429
J9VSS2	CNAG_03211		Uncharacterized protein		CNAG_03211		J9VSS2_CRYNH					
J9VY17	CNAG_04709		Uncharacterized protein		CNAG_04709		J9VY17_CRYNH	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
J9VYZ4	CNAG_06437		MICOS complex subunit MIC10		CNAG_06437		J9VYZ4_CRYNH		MICOS complex [GO:0061617]	MICOS complex [GO:0061617]		GO:0061617
J9VJ76	CNAG_05237		DUF262 domain-containing protein		CNAG_05237		J9VJ76_CRYNH					
J9VWT4	CNAG_05462		Cytochrome b5 reductase		CNAG_05462		J9VWT4_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VUK2	CNAG_01952		Aryl-alcohol dehydrogenase		CNAG_01952		J9VUK2_CRYNH			D-threo-aldose 1-dehydrogenase activity [GO:0047834]	D-threo-aldose 1-dehydrogenase activity [GO:0047834]	GO:0047834
J9VDT3	CNAG_00303		High-affinity nicotinic acid transporter		CNAG_00303		J9VDT3_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VGV5	CNAG_00454		Uncharacterized protein		CNAG_00454		J9VGV5_CRYNH					
J9VIU1	CNAG_03830		Uncharacterized protein		CNAG_03830		J9VIU1_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]	GO:0003676; GO:0005634
J9W2K3	CNAG_06139		Uncharacterized protein		CNAG_06139		J9W2K3_CRYNH					
J9VQ60	CNAG_02852		4-aminobutyrate transaminase		CNAG_02852		J9VQ60_CRYNH			pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	GO:0008483; GO:0030170
T2BNQ6	CNAG_07975		Uncharacterized protein		CNAG_07975		T2BNQ6_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VN38	CNAG_01281		Uncharacterized protein		CNAG_01281		J9VN38_CRYNH					
J9VSP1	CNAG_04765		Actin-related protein 2/3 complex subunit 3		CNAG_04765		J9VSP1_CRYNH	Arp2/3 complex-mediated actin nucleation [GO:0034314]	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; actin binding [GO:0003779]; Arp2/3 complex-mediated actin nucleation [GO:0034314]	actin binding [GO:0003779]	GO:0003779; GO:0005737; GO:0005885; GO:0034314
J9VK57	CNAG_00843		Salicylate hydroxylase		CNAG_00843		J9VK57_CRYNH			FAD binding [GO:0071949]	FAD binding [GO:0071949]	GO:0071949
J9VLK6	CNAG_00438		Uncharacterized protein		CNAG_00438		J9VLK6_CRYNH					
J9VSW9	CNAG_02105		Methylated-DNA-protein-cysteine methyltransferase		CNAG_02105		J9VSW9_CRYNH	DNA repair [GO:0006281]; methylation [GO:0032259]		methyltransferase activity [GO:0008168]; DNA repair [GO:0006281]; methylation [GO:0032259]	methyltransferase activity [GO:0008168]	GO:0006281; GO:0008168; GO:0032259
T2BPA0	CNAG_07711		Uncharacterized protein		CNAG_07711		T2BPA0_CRYNH					
J9VKG7	CNAG_02786		6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (EC 2.5.1.15) (EC 2.7.6.3) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (Dihydropteroate synthase)		CNAG_02786		J9VKG7_CRYNH	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; dihydroneopterin aldolase activity [GO:0004150]; dihydropteroate synthase activity [GO:0004156]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; dihydroneopterin aldolase activity [GO:0004150]; dihydropteroate synthase activity [GO:0004156]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]	GO:0003848; GO:0004150; GO:0004156; GO:0005524; GO:0016301; GO:0046654; GO:0046656; GO:0046872
